E,n,k,eps1,eps2,elf
0.0,1.63,0.0,2.66,0.0,0.0
0.1,1.63,0.0,2.66,0.0,0.0
0.2,1.63,0.0,2.67,0.01,0.0
0.3,1.63,0.0,2.67,0.01,0.0
0.4,1.63,0.0,2.67,0.01,0.0
0.5,1.63,0.01,2.67,0.02,0.0
0.6,1.63,0.01,2.67,0.02,0.0
0.7,1.63,0.01,2.67,0.03,0.0
0.8,1.63,0.01,2.67,0.03,0.0
0.9,1.64,0.01,2.67,0.03,0.0
1.0,1.64,0.01,2.68,0.04,0.01
1.1,1.64,0.01,2.68,0.04,0.01
1.2,1.64,0.01,2.68,0.04,0.01
1.3,1.64,0.01,2.69,0.05,0.01
1.4,1.64,0.02,2.69,0.05,0.01
1.5,1.64,0.02,2.69,0.06,0.01
1.6,1.64,0.02,2.7,0.06,0.01
1.7,1.64,0.02,2.7,0.06,0.01
1.8,1.65,0.02,2.71,0.07,0.01
1.9,1.65,0.02,2.71,0.07,0.01
2.0,1.65,0.02,2.72,0.08,0.01
2.1,1.65,0.02,2.72,0.08,0.01
2.2,1.65,0.03,2.73,0.09,0.01
2.3,1.65,0.03,2.73,0.09,0.01
2.4,1.66,0.03,2.74,0.1,0.01
2.5,1.66,0.03,2.75,0.1,0.01
2.6,1.66,0.03,2.75,0.11,0.01
2.7,1.66,0.03,2.76,0.11,0.01
2.8,1.66,0.03,2.77,0.12,0.02
2.9,1.67,0.04,2.78,0.12,0.02
3.0,1.67,0.04,2.79,0.13,0.02
3.1,1.67,0.04,2.8,0.13,0.02
3.2,1.68,0.04,2.81,0.14,0.02
3.3,1.68,0.04,2.82,0.14,0.02
3.4,1.68,0.04,2.83,0.15,0.02
3.5,1.69,0.05,2.84,0.16,0.02
3.6,1.69,0.05,2.85,0.16,0.02
3.7,1.69,0.05,2.86,0.17,0.02
3.8,1.7,0.05,2.87,0.18,0.02
3.9,1.7,0.05,2.89,0.19,0.02
4.0,1.7,0.06,2.9,0.19,0.02
4.1,1.71,0.06,2.92,0.2,0.02
4.2,1.71,0.06,2.93,0.21,0.02
4.3,1.72,0.06,2.95,0.22,0.03
4.4,1.72,0.07,2.97,0.23,0.03
4.5,1.73,0.07,2.98,0.24,0.03
4.6,1.73,0.07,3.0,0.25,0.03
4.7,1.74,0.08,3.02,0.27,0.03
4.8,1.75,0.08,3.04,0.28,0.03
4.9,1.75,0.08,3.06,0.29,0.03
5.0,1.76,0.09,3.09,0.31,0.03
5.1,1.77,0.09,3.11,0.33,0.03
5.2,1.77,0.1,3.14,0.35,0.03
5.3,1.78,0.1,3.16,0.37,0.04
5.4,1.79,0.11,3.19,0.39,0.04
5.5,1.8,0.12,3.22,0.42,0.04
5.6,1.81,0.12,3.25,0.45,0.04
5.7,1.82,0.13,3.28,0.48,0.04
5.8,1.83,0.14,3.31,0.52,0.05
5.9,1.83,0.15,3.34,0.56,0.05
6.0,1.84,0.17,3.37,0.61,0.05
6.1,1.85,0.18,3.39,0.67,0.06
6.2,1.86,0.2,3.41,0.73,0.06
6.3,1.86,0.21,3.41,0.79,0.06
6.4,1.86,0.23,3.4,0.86,0.07
6.5,1.86,0.25,3.38,0.91,0.07
6.6,1.85,0.26,3.36,0.95,0.08
6.7,1.84,0.26,3.33,0.97,0.08
6.8,1.84,0.27,3.32,0.98,0.08
6.9,1.84,0.27,3.33,0.99,0.08
7.0,1.85,0.27,3.34,1.0,0.08
7.1,1.86,0.27,3.37,1.02,0.08
7.2,1.87,0.28,3.41,1.05,0.08
7.3,1.88,0.29,3.45,1.09,0.08
7.4,1.89,0.3,3.49,1.14,0.08
7.5,1.9,0.32,3.53,1.2,0.09
7.6,1.92,0.33,3.56,1.28,0.09
7.7,1.93,0.35,3.59,1.36,0.09
7.8,1.94,0.38,3.61,1.45,0.1
7.9,1.94,0.4,3.62,1.56,0.1
8.0,1.95,0.43,3.61,1.66,0.11
