E,n,k,eps1,eps2,elf
0.0,1.5,0.0,2.25,0.0,0.0
0.1,1.5,0.0,2.25,0.0,0.0
0.2,1.5,0.0,2.25,0.0,0.0
0.3,1.5,0.0,2.25,0.01,0.0
0.4,1.5,0.0,2.25,0.01,0.0
0.5,1.5,0.0,2.25,0.01,0.0
0.6,1.5,0.0,2.25,0.01,0.0
0.7,1.5,0.01,2.25,0.02,0.0
0.8,1.5,0.01,2.25,0.02,0.0
0.9,1.5,0.01,2.26,0.02,0.0
1.0,1.5,0.01,2.26,0.03,0.0
1.1,1.5,0.01,2.26,0.03,0.01
1.2,1.5,0.01,2.26,0.03,0.01
1.3,1.5,0.01,2.26,0.03,0.01
1.4,1.51,0.01,2.27,0.04,0.01
1.5,1.51,0.01,2.27,0.04,0.01
1.6,1.51,0.01,2.27,0.04,0.01
1.7,1.51,0.01,2.27,0.04,0.01
1.8,1.51,0.02,2.28,0.05,0.01
1.9,1.51,0.02,2.28,0.05,0.01
2.0,1.51,0.02,2.28,0.05,0.01
2.1,1.51,0.02,2.29,0.06,0.01
2.2,1.51,0.02,2.29,0.06,0.01
2.3,1.52,0.02,2.3,0.06,0.01
2.4,1.52,0.02,2.3,0.07,0.01
2.5,1.52,0.02,2.31,0.07,0.01
2.6,1.52,0.02,2.31,0.07,0.01
2.7,1.52,0.02,2.32,0.08,0.01
2.8,1.52,0.03,2.32,0.08,0.01
2.9,1.53,0.03,2.33,0.08,0.02
3.0,1.53,0.03,2.34,0.09,0.02
3.1,1.53,0.03,2.34,0.09,0.02
3.2,1.53,0.03,2.35,0.1,0.02
3.3,1.54,0.03,2.36,0.1,0.02
3.4,1.54,0.03,2.37,0.1,0.02
3.5,1.54,0.04,2.38,0.11,0.02
3.6,1.55,0.04,2.39,0.11,0.02
3.7,1.55,0.04,2.4,0.12,0.02
3.8,1.55,0.04,2.41,0.12,0.02
3.9,1.56,0.04,2.42,0.13,0.02
4.0,1.56,0.04,2.43,0.14,0.02
4.1,1.56,0.05,2.44,0.14,0.02
4.2,1.57,0.05,2.45,0.15,0.02
4.3,1.57,0.05,2.47,0.16,0.03
4.4,1.58,0.05,2.48,0.17,0.03
4.5,1.58,0.06,2.5,0.17,0.03
4.6,1.59,0.06,2.52,0.18,0.03
4.7,1.59,0.06,2.54,0.2,0.03
4.8,1.6,0.06,2.56,0.21,0.03
4.9,1.61,0.07,2.58,0.22,0.03
5.0,1.62,0.07,2.61,0.24,0.03
5.1,1.63,0.08,2.64,0.26,0.04
