E,n,k,eps1,eps2,elf
0.0,1.75,0.0,3.05,0.0,0.0
0.1,1.75,0.0,3.05,0.0,0.0
0.2,1.75,0.0,3.05,0.0,0.0
0.3,1.75,0.0,3.05,0.0,0.0
0.4,1.75,0.0,3.05,0.0,0.0
0.5,1.75,0.0,3.06,0.0,0.0
0.6,1.75,0.0,3.06,0.0,0.0
0.7,1.75,0.0,3.06,0.0,0.0
0.8,1.75,0.0,3.07,0.0,0.0
0.9,1.75,0.0,3.08,0.0,0.0
1.0,1.76,0.0,3.08,0.0,0.0
1.1,1.76,0.0,3.09,0.0,0.0
1.2,1.76,0.0,3.1,0.0,0.0
1.3,1.76,0.0,3.11,0.0,0.0
1.4,1.77,0.0,3.12,0.0,0.0
1.5,1.77,0.0,3.14,0.0,0.0
1.6,1.77,0.0,3.15,0.0,0.0
1.7,1.78,0.0,3.16,0.0,0.0
1.8,1.78,0.0,3.18,0.0,0.0
1.9,1.79,0.0,3.2,0.0,0.0
2.0,1.79,0.0,3.21,0.0,0.0
2.1,1.8,0.0,3.23,0.0,0.0
2.2,1.8,0.0,3.26,0.0,0.0
2.3,1.81,0.0,3.28,0.0,0.0
2.4,1.82,0.0,3.3,0.0,0.0
2.5,1.83,0.0,3.33,0.0,0.0
2.6,1.83,0.0,3.36,0.0,0.0
2.7,1.84,0.0,3.39,0.0,0.0
2.8,1.85,0.0,3.43,0.0,0.0
2.9,1.86,0.0,3.47,0.0,0.0
3.0,1.87,0.0,3.51,0.0,0.0
3.1,1.89,0.0,3.56,0.0,0.0
3.2,1.9,0.0,3.61,0.0,0.0
3.3,1.92,0.0,3.67,0.0,0.0
3.4,1.93,0.0,3.73,0.0,0.0
3.5,1.95,0.0,3.81,0.0,0.0
3.6,1.97,0.0,3.89,0.0,0.0
3.7,2.0,0.0,3.99,0.0,0.0
3.8,2.03,0.0,4.11,0.0,0.0
3.9,2.06,0.0,4.25,0.0,0.0
4.0,2.11,0.0,4.44,0.0,0.0
4.1,2.17,0.0,4.7,0.0,0.0
4.2,2.27,0.0,5.13,0.0,0.0
4.3,2.31,0.31,5.24,1.45,0.05
4.4,2.36,0.34,5.47,1.61,0.05
4.5,2.32,0.39,5.22,1.79,0.06
4.6,2.3,0.43,5.09,1.99,0.07
