E,n,k,eps1,eps2,elf
0.0,1.79,0.0,3.21,0.0,0.0
0.1,1.79,0.0,3.21,0.0,0.0
0.2,1.79,0.0,3.21,0.01,0.0
0.3,1.79,0.0,3.21,0.01,0.0
0.4,1.79,0.01,3.21,0.02,0.0
0.5,1.79,0.01,3.21,0.02,0.0
0.6,1.79,0.01,3.21,0.03,0.0
0.7,1.79,0.01,3.22,0.03,0.0
0.8,1.79,0.01,3.22,0.04,0.0
0.9,1.8,0.01,3.22,0.04,0.0
1.0,1.8,0.01,3.23,0.05,0.0
1.1,1.8,0.01,3.23,0.05,0.01
1.2,1.8,0.02,3.24,0.06,0.01
1.3,1.8,0.02,3.24,0.06,0.01
1.4,1.8,0.02,3.25,0.07,0.01
1.5,1.8,0.02,3.26,0.07,0.01
1.6,1.81,0.02,3.26,0.08,0.01
1.7,1.81,0.02,3.27,0.08,0.01
1.8,1.81,0.02,3.28,0.09,0.01
1.9,1.81,0.03,3.29,0.1,0.01
2.0,1.82,0.03,3.3,0.1,0.01
2.1,1.82,0.03,3.31,0.11,0.01
2.2,1.82,0.03,3.32,0.11,0.01
2.3,1.83,0.03,3.33,0.12,0.01
2.4,1.83,0.03,3.34,0.13,0.01
2.5,1.83,0.04,3.35,0.13,0.01
2.6,1.84,0.04,3.37,0.14,0.01
2.7,1.84,0.04,3.38,0.15,0.01
2.8,1.84,0.04,3.4,0.15,0.01
2.9,1.85,0.04,3.41,0.16,0.01
3.0,1.85,0.05,3.43,0.17,0.01
3.1,1.86,0.05,3.45,0.18,0.01
3.2,1.86,0.05,3.46,0.19,0.02
3.3,1.87,0.05,3.48,0.19,0.02
3.4,1.87,0.05,3.5,0.2,0.02
3.5,1.88,0.06,3.52,0.21,0.02
3.6,1.88,0.06,3.54,0.22,0.02
3.7,1.89,0.06,3.57,0.23,0.02
3.8,1.9,0.06,3.59,0.24,0.02
3.9,1.9,0.07,3.62,0.25,0.02
4.0,1.91,0.07,3.64,0.26,0.02
4.1,1.92,0.07,3.67,0.28,0.02
4.2,1.93,0.07,3.7,0.29,0.02
4.3,1.93,0.08,3.73,0.3,0.02
4.4,1.94,0.08,3.77,0.32,0.02
4.5,1.95,0.08,3.8,0.33,0.02
4.6,1.96,0.09,3.84,0.35,0.02
4.7,1.97,0.09,3.87,0.36,0.02
4.8,1.98,0.1,3.91,0.38,0.02
4.9,1.99,0.1,3.96,0.4,0.03
5.0,2.0,0.1,4.0,0.42,0.03
5.1,2.02,0.11,4.05,0.44,0.03
5.2,2.03,0.11,4.1,0.47,0.03
5.3,2.04,0.12,4.16,0.49,0.03
5.4,2.06,0.13,4.21,0.52,0.03
5.5,2.07,0.13,4.28,0.55,0.03
5.6,2.09,0.14,4.34,0.58,0.03
5.7,2.11,0.15,4.41,0.61,0.03
5.8,2.12,0.15,4.49,0.65,0.03
5.9,2.14,0.16,4.57,0.7,0.03
6.0,2.16,0.17,4.66,0.74,0.03
6.1,2.19,0.18,4.75,0.8,0.03
6.2,2.21,0.19,4.86,0.86,0.04
6.3,2.24,0.21,4.97,0.92,0.04
6.4,2.27,0.22,5.09,1.0,0.04
6.5,2.3,0.24,5.22,1.09,0.04
6.6,2.33,0.25,5.37,1.19,0.04
6.7,2.37,0.28,5.54,1.3,0.04
6.8,2.41,0.3,5.72,1.45,0.04
6.9,2.46,0.33,5.92,1.61,0.04
7.0,2.51,0.36,6.15,1.82,0.04
7.1,2.56,0.41,6.4,2.08,0.05
7.2,2.63,0.46,6.69,2.41,0.05
7.3,2.7,0.53,7.0,2.85,0.05
7.4,2.78,0.62,7.33,3.43,0.05
7.5,2.86,0.74,7.63,4.25,0.06
7.6,2.94,0.92,7.78,5.39,0.06
7.7,2.98,1.16,7.51,6.9,0.07
7.8,2.92,1.46,6.37,8.5,0.08
7.9,2.7,1.73,4.31,9.36,0.09
8.0,2.4,1.86,2.26,8.93,0.11
8.1,2.12,1.85,1.07,7.84,0.13
8.2,1.93,1.77,0.58,6.84,0.15
8.3,1.81,1.69,0.41,6.12,0.16
8.4,1.72,1.63,0.31,5.61,0.18
8.5,1.65,1.57,0.24,5.2,0.19
8.6,1.59,1.53,0.19,4.84,0.21
8.7,1.53,1.48,0.16,4.52,0.22
8.8,1.48,1.43,0.16,4.24,0.24
8.9,1.45,1.38,0.19,3.99,0.25
9.0,1.42,1.34,0.23,3.79,0.26
9.1,1.4,1.3,0.28,3.63,0.27
9.2,1.39,1.26,0.33,3.5,0.28
9.3,1.38,1.24,0.37,3.4,0.29
9.4,1.37,1.21,0.4,3.32,0.3
9.5,1.36,1.2,0.41,3.26,0.3
9.6,1.35,1.18,0.42,3.2,0.31
9.7,1.34,1.17,0.41,3.14,0.31
9.8,1.33,1.17,0.4,3.09,0.32
9.9,1.31,1.16,0.38,3.04,0.32
10.0,1.3,1.15,0.36,2.99,0.33
10.1,1.28,1.14,0.34,2.93,0.34
10.2,1.27,1.14,0.32,2.88,0.34
10.3,1.25,1.13,0.3,2.83,0.35
10.4,1.24,1.12,0.27,2.78,0.36
10.5,1.22,1.12,0.25,2.73,0.36
10.6,1.21,1.11,0.23,2.68,0.37
10.7,1.19,1.1,0.2,2.63,0.38
10.8,1.17,1.1,0.18,2.57,0.39
10.9,1.16,1.09,0.16,2.52,0.4
