E,n,k,eps1,eps2,elf
0.0,1.49,0.0,2.22,0.0,0.0
0.1,1.49,0.0,2.22,0.0,0.0
0.2,1.49,0.0,2.22,0.0,0.0
0.3,1.49,0.0,2.22,0.01,0.0
0.4,1.49,0.0,2.22,0.01,0.0
0.5,1.49,0.0,2.22,0.01,0.0
0.6,1.49,0.0,2.22,0.01,0.0
0.7,1.49,0.0,2.22,0.01,0.0
0.8,1.49,0.01,2.22,0.02,0.0
0.9,1.49,0.01,2.23,0.02,0.0
1.0,1.49,0.01,2.23,0.02,0.0
1.1,1.49,0.01,2.23,0.02,0.0
1.2,1.49,0.01,2.23,0.02,0.01
1.3,1.49,0.01,2.23,0.03,0.01
1.4,1.49,0.01,2.23,0.03,0.01
1.5,1.5,0.01,2.24,0.03,0.01
1.6,1.5,0.01,2.24,0.03,0.01
1.7,1.5,0.01,2.24,0.04,0.01
1.8,1.5,0.01,2.24,0.04,0.01
1.9,1.5,0.01,2.25,0.04,0.01
2.0,1.5,0.01,2.25,0.04,0.01
2.1,1.5,0.02,2.25,0.05,0.01
2.2,1.5,0.02,2.25,0.05,0.01
2.3,1.5,0.02,2.26,0.05,0.01
2.4,1.5,0.02,2.26,0.05,0.01
2.5,1.51,0.02,2.27,0.06,0.01
2.6,1.51,0.02,2.27,0.06,0.01
2.7,1.51,0.02,2.27,0.06,0.01
2.8,1.51,0.02,2.28,0.06,0.01
2.9,1.51,0.02,2.28,0.07,0.01
3.0,1.51,0.02,2.29,0.07,0.01
3.1,1.51,0.02,2.29,0.07,0.01
3.2,1.52,0.02,2.3,0.07,0.01
3.3,1.52,0.03,2.3,0.08,0.01
3.4,1.52,0.03,2.31,0.08,0.02
3.5,1.52,0.03,2.31,0.08,0.02
3.6,1.52,0.03,2.32,0.09,0.02
3.7,1.52,0.03,2.32,0.09,0.02
3.8,1.53,0.03,2.33,0.09,0.02
3.9,1.53,0.03,2.34,0.1,0.02
4.0,1.53,0.03,2.34,0.1,0.02
4.1,1.53,0.03,2.35,0.11,0.02
4.2,1.54,0.04,2.36,0.11,0.02
4.3,1.54,0.04,2.37,0.11,0.02
4.4,1.54,0.04,2.37,0.12,0.02
4.5,1.54,0.04,2.38,0.12,0.02
4.6,1.55,0.04,2.39,0.13,0.02
4.7,1.55,0.04,2.4,0.13,0.02
4.8,1.55,0.04,2.41,0.14,0.02
4.9,1.56,0.05,2.42,0.14,0.02
5.0,1.56,0.05,2.43,0.15,0.02
5.1,1.56,0.05,2.44,0.15,0.03
5.2,1.57,0.05,2.45,0.16,0.03
5.3,1.57,0.05,2.46,0.17,0.03
5.4,1.57,0.05,2.47,0.17,0.03
5.5,1.58,0.06,2.48,0.18,0.03
5.6,1.58,0.06,2.5,0.19,0.03
5.7,1.59,0.06,2.51,0.19,0.03
5.8,1.59,0.06,2.52,0.2,0.03
5.9,1.59,0.07,2.54,0.21,0.03
6.0,1.6,0.07,2.55,0.22,0.03
6.1,1.6,0.07,2.57,0.23,0.03
6.2,1.61,0.07,2.58,0.24,0.04
6.3,1.61,0.08,2.6,0.25,0.04
6.4,1.62,0.08,2.62,0.26,0.04
6.5,1.63,0.08,2.63,0.27,0.04
6.6,1.63,0.09,2.65,0.29,0.04
6.7,1.64,0.09,2.67,0.3,0.04
6.8,1.64,0.1,2.69,0.31,0.04
6.9,1.65,0.1,2.71,0.33,0.04
7.0,1.66,0.1,2.73,0.35,0.05
7.1,1.66,0.11,2.76,0.37,0.05
7.2,1.67,0.12,2.78,0.39,0.05
7.3,1.68,0.12,2.8,0.41,0.05
7.4,1.69,0.13,2.83,0.43,0.05
7.5,1.69,0.14,2.85,0.46,0.06
7.6,1.7,0.14,2.88,0.49,0.06
7.7,1.71,0.15,2.9,0.52,0.06
7.8,1.72,0.16,2.93,0.55,0.06
7.9,1.73,0.17,2.96,0.59,0.07
8.0,1.74,0.18,2.98,0.63,0.07
8.1,1.75,0.2,3.01,0.68,0.07
8.2,1.75,0.21,3.03,0.73,0.08
8.3,1.76,0.22,3.06,0.79,0.08
8.4,1.77,0.24,3.07,0.85,0.08
8.5,1.78,0.26,3.09,0.91,0.09
8.6,1.78,0.28,3.1,0.98,0.09
8.7,1.79,0.3,3.1,1.05,0.1
8.8,1.79,0.32,3.1,1.13,0.1
8.9,1.79,0.34,3.08,1.2,0.11
9.0,1.79,0.36,3.06,1.28,0.12
9.1,1.78,0.38,3.04,1.35,0.12
9.2,1.78,0.4,3.0,1.42,0.13
9.3,1.77,0.42,2.96,1.48,0.13
9.4,1.76,0.43,2.93,1.53,0.14
9.5,1.76,0.45,2.89,1.58,0.15
9.6,1.75,0.47,2.85,1.63,0.15
9.7,1.74,0.48,2.81,1.68,0.16
9.8,1.74,0.5,2.77,1.73,0.16
9.9,1.73,0.52,2.73,1.78,0.17
10.0,1.72,0.53,2.68,1.83,0.17
10.1,1.71,0.55,2.62,1.88,0.18
10.2,1.7,0.57,2.56,1.93,0.19
10.3,1.68,0.59,2.49,1.97,0.2
10.4,1.67,0.6,2.42,2.0,0.2
10.5,1.65,0.61,2.34,2.02,0.21
10.6,1.63,0.62,2.27,2.02,0.22
10.7,1.61,0.63,2.21,2.02,0.23
10.8,1.6,0.63,2.15,2.02,0.23
10.9,1.58,0.63,2.1,2.01,0.24
11.0,1.57,0.64,2.07,2.0,0.24
11.1,1.56,0.64,2.03,2.0,0.25
11.2,1.55,0.64,2.0,2.0,0.25
11.3,1.55,0.65,1.97,2.01,0.25
11.4,1.54,0.66,1.94,2.03,0.26
11.5,1.53,0.67,1.9,2.05,0.26
11.6,1.52,0.68,1.85,2.07,0.27
11.7,1.51,0.69,1.8,2.08,0.27
11.8,1.49,0.7,1.74,2.09,0.28
11.9,1.48,0.71,1.68,2.1,0.29
12.0,1.46,0.72,1.62,2.09,0.3
12.1,1.44,0.72,1.56,2.08,0.31
12.2,1.43,0.72,1.51,2.06,0.32
12.3,1.41,0.72,1.47,2.04,0.32
12.4,1.4,0.72,1.43,2.02,0.33
12.5,1.38,0.72,1.39,2.0,0.34
12.6,1.37,0.72,1.36,1.98,0.34
12.7,1.36,0.72,1.33,1.97,0.35
12.8,1.35,0.72,1.3,1.96,0.35
12.9,1.34,0.73,1.26,1.95,0.36
13.0,1.33,0.73,1.23,1.94,0.37
13.1,1.31,0.73,1.19,1.92,0.38
