E,n,k,eps1,eps2,elf
0.0,1.68,0.0,2.82,0.0,0.0
0.1,1.68,0.0,2.82,0.0,0.0
0.2,1.68,0.0,2.82,0.0,0.0
0.3,1.68,0.0,2.82,0.0,0.0
0.4,1.68,0.0,2.82,0.0,0.0
0.5,1.68,0.0,2.82,0.0,0.0
0.6,1.68,0.0,2.82,0.0,0.0
0.7,1.68,0.0,2.83,0.0,0.0
0.8,1.68,0.0,2.83,0.0,0.0
0.9,1.68,0.0,2.84,0.0,0.0
1.0,1.69,0.0,2.84,0.0,0.0
1.1,1.69,0.0,2.85,0.0,0.0
1.2,1.69,0.0,2.85,0.0,0.0
1.3,1.69,0.0,2.86,0.0,0.0
1.4,1.69,0.0,2.87,0.0,0.0
1.5,1.69,0.0,2.87,0.0,0.0
1.6,1.7,0.0,2.88,0.0,0.0
1.7,1.7,0.0,2.89,0.0,0.0
1.8,1.7,0.0,2.9,0.0,0.0
1.9,1.71,0.0,2.91,0.0,0.0
2.0,1.71,0.0,2.92,0.0,0.0
2.1,1.71,0.0,2.93,0.0,0.0
2.2,1.72,0.0,2.95,0.0,0.0
2.3,1.72,0.0,2.96,0.0,0.0
2.4,1.72,0.0,2.97,0.0,0.0
2.5,1.73,0.0,2.99,0.0,0.0
2.6,1.73,0.0,3.01,0.0,0.0
2.7,1.74,0.0,3.02,0.0,0.0
2.8,1.74,0.0,3.04,0.0,0.0
2.9,1.75,0.0,3.06,0.0,0.0
3.0,1.76,0.0,3.08,0.0,0.0
3.1,1.76,0.0,3.11,0.0,0.0
3.2,1.77,0.0,3.13,0.0,0.0
3.3,1.78,0.0,3.16,0.0,0.0
3.4,1.78,0.0,3.18,0.0,0.0
3.5,1.79,0.0,3.21,0.0,0.0
3.6,1.8,0.0,3.25,0.0,0.0
3.7,1.81,0.0,3.28,0.0,0.0
3.8,1.82,0.0,3.32,0.0,0.0
3.9,1.83,0.0,3.36,0.0,0.0
4.0,1.85,0.0,3.41,0.0,0.0
4.1,1.86,0.0,3.45,0.0,0.0
4.2,1.87,0.0,3.51,0.0,0.0
4.3,1.89,0.0,3.57,0.0,0.0
