E,n,k,eps1,eps2,elf
0.0,1.28,0.0,1.63,0.0,0.0
0.1,1.28,0.0,1.63,0.0,0.0
0.2,1.28,0.0,1.63,0.0,0.0
0.3,1.28,0.0,1.63,0.0,0.0
0.4,1.28,0.0,1.64,0.0,0.0
0.5,1.28,0.0,1.64,0.0,0.0
0.6,1.28,0.0,1.64,0.01,0.0
0.7,1.28,0.0,1.64,0.01,0.0
0.8,1.28,0.0,1.64,0.01,0.0
0.9,1.28,0.0,1.64,0.01,0.0
1.0,1.28,0.0,1.64,0.01,0.0
1.1,1.28,0.0,1.64,0.01,0.0
1.2,1.28,0.0,1.64,0.01,0.0
1.3,1.28,0.0,1.64,0.01,0.0
1.4,1.28,0.01,1.64,0.01,0.0
1.5,1.28,0.01,1.64,0.01,0.01
1.6,1.28,0.01,1.64,0.01,0.01
1.7,1.28,0.01,1.64,0.02,0.01
1.8,1.28,0.01,1.64,0.02,0.01
1.9,1.28,0.01,1.64,0.02,0.01
2.0,1.28,0.01,1.64,0.02,0.01
2.1,1.28,0.01,1.64,0.02,0.01
2.2,1.28,0.01,1.64,0.02,0.01
2.3,1.28,0.01,1.64,0.02,0.01
2.4,1.28,0.01,1.64,0.02,0.01
2.5,1.28,0.01,1.64,0.02,0.01
2.6,1.28,0.01,1.65,0.02,0.01
2.7,1.28,0.01,1.65,0.03,0.01
2.8,1.28,0.01,1.65,0.03,0.01
2.9,1.28,0.01,1.65,0.03,0.01
3.0,1.28,0.01,1.65,0.03,0.01
3.1,1.28,0.01,1.65,0.03,0.01
3.2,1.29,0.01,1.65,0.03,0.01
3.3,1.29,0.01,1.65,0.03,0.01
3.4,1.29,0.01,1.65,0.03,0.01
3.5,1.29,0.01,1.65,0.03,0.01
3.6,1.29,0.01,1.66,0.04,0.01
3.7,1.29,0.01,1.66,0.04,0.01
3.8,1.29,0.01,1.66,0.04,0.01
3.9,1.29,0.01,1.66,0.04,0.01
4.0,1.29,0.02,1.66,0.04,0.01
4.1,1.29,0.02,1.66,0.04,0.01
4.2,1.29,0.02,1.66,0.04,0.02
4.3,1.29,0.02,1.67,0.04,0.02
4.4,1.29,0.02,1.67,0.04,0.02
